"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","city_state","lon","lat"
"836","Milwaukie city","Oregon","Small","Bike",82,0.8,0.5,"OR","West","Milwaukie city, Oregon",-122.6322812,45.4465305
"837","Minnetonka city","Minnesota","Small","Bike",138,0.5,0.2,"MN","North Central","Minnetonka city, Minnesota",-93.4687489,44.9211836
"838","Minot city","North Dakota","Small","Bike",128,0.6,0.4,"ND","North Central","Minot city, North Dakota",-101.2922906,48.2329668
"839","Mint Hill town","North Carolina","Small","Bike",0,0,0.4,"NC","South","Mint Hill town, North Carolina",-80.6570304,35.1735404
"840","Mishawaka city","Indiana","Small","Bike",133,0.6,0.3,"IN","North Central","Mishawaka city, Indiana",-86.1586156,41.6619927
"841","Mission city","Texas","Small","Bike",40,0.1,0.2,"TX","South","Mission city, Texas",-98.3252932,26.2159066
"842","Mission Viejo city","California","Small","Bike",70,0.2,0.1,"CA","West","Mission Viejo city, California",-117.6581562,33.5968913
"843","Missoula city","Montana","Small","Bike",2160,6.2,0.9,"MT","West","Missoula city, Montana",-113.9940314,46.8721284
"844","Missouri City city","Texas","Small","Bike",0,0,0.1,"TX","South","Missouri City city, Texas",-95.5377215,29.6185669
"845","Moline city","Illinois","Small","Bike",88,0.4,0.3,"IL","North Central","Moline city, Illinois",-90.5151342,41.5067003
"846","Monroe city","Louisiana","Small","Bike",71,0.4,0.3,"LA","South","Monroe city, Louisiana",-92.1193012,32.5093109
"847","Monroe city","Michigan","Small","Bike",24,0.3,0.3,"MI","North Central","Monroe city, Michigan",-83.3977101,41.9164343
"848","Monroe city","North Carolina","Small","Bike",19,0.1,0.2,"NC","South","Monroe city, North Carolina",-80.5495112,34.9854275
"849","Monroeville municipality","Pennsylvania","Small","Bike",0,0,0.2,"PA","Northeast","Monroeville municipality, Pennsylvania",-79.7881024,40.4211798
"850","Monrovia city","California","Small","Bike",133,0.7,0.5,"CA","West","Monrovia city, California",-118.0019482,34.1442616
"851","Montclair city","California","Small","Bike",56,0.4,0.4,"CA","West","Montclair city, California",-117.6897776,34.0775104
"852","Montebello city","California","Small","Bike",64,0.3,0.2,"CA","West","Montebello city, California",-118.1137535,34.0165053
"853","Monterey city","California","Small","Bike",477,3.1,1,"CA","West","Monterey city, California",-121.8946761,36.6002378
"854","Monterey Park city","California","Small","Bike",113,0.4,0.3,"CA","West","Monterey Park city, California",-118.1228476,34.0625106
"855","Moore city","Oklahoma","Small","Bike",22,0.1,0.1,"OK","South","Moore city, Oklahoma",-97.4867028,35.3395079
"856","Mooresville town","North Carolina","Small","Bike",13,0.1,0.2,"NC","South","Mooresville town, North Carolina",-80.8081413,35.5859146
"857","Moorhead city","Minnesota","Small","Bike",177,0.9,0.4,"MN","North Central","Moorhead city, Minnesota",-96.7678039,46.8737648
"858","Moorpark city","California","Small","Bike",29,0.2,0.2,"CA","West","Moorpark city, California",-118.8820414,34.285558
"859","Morgan Hill city","California","Small","Bike",142,0.8,0.5,"CA","West","Morgan Hill city, California",-121.6543901,37.1305012
"860","Morgantown city","West Virginia","Small","Bike",72,0.6,0.5,"WV","South","Morgantown city, West Virginia",-79.9558968,39.629526
